$,'',CC,CD,DT,FW,IN,JJ,MD,NN,NNP,NNS,PDT,PRP,RB,RP,SYM,VB,VBD,VBG,VBP,VBZ,WRB,Nat
,1.13E-05,9.57E-05,0.000292717,0.000821859,3.94E-05,0.000185763,0.001536764,6.19E-05,0.007492429,0.002279815,5.07E-05,2.25E-05,2.25E-05,5.63E-05,,,0.000174504,0.000174504,,0.00095133,0.000720534,,TRUE
,1.13E-05,8.44E-05,0.000258942,0.000720534,3.94E-05,0.000163246,0.00142981,5.07E-05,0.006788782,0.002054648,4.50E-05,2.25E-05,1.69E-05,5.07E-05,,,0.000157617,0.000140729,,0.000861263,0.000669872,,TRUE
1.69E-05,5.63E-06,7.88E-05,0.000562917,0.003208628,8.44E-05,0.000658613,0.003940421,0.000112583,0.023907096,0.006321561,3.94E-05,5.07E-05,3.94E-05,7.88E-05,,,0.0002702,0.00061358,,0.002865249,0.002015244,1.69E-05,TRUE
6.76E-05,,6.76E-05,0.000765567,0.003056641,9.01E-05,0.000591063,0.004092408,9.57E-05,0.023214708,0.006676199,1.13E-05,0.000118213,0.000163246,5.07E-05,5.63E-06,,0.000168875,0.000574176,,0.003276178,0.001756302,1.69E-05,TRUE
1.13E-05,,1.69E-05,0.000309604,0.000940072,3.38E-05,0.000180134,0.001182126,4.50E-05,0.006721232,0.00190829,5.63E-06,1.13E-05,1.69E-05,2.25E-05,,,6.19E-05,0.000180134,,0.000889409,0.000585434,5.63E-06,TRUE
0.000101325,,9.01E-05,0.001705639,0.003681479,0.000106954,0.000776826,0.004886122,0.000151988,0.027763079,0.007407991,3.94E-05,3.94E-05,0.000101325,8.44E-05,,,0.000326492,0.000928813,,0.00353512,0.002465578,5.63E-06,TRUE
2.81E-05,,8.44E-05,0.000529142,0.002184119,5.07E-05,0.000422188,0.003034124,0.000163246,0.015924929,0.005206985,1.13E-05,6.19E-05,6.76E-05,2.81E-05,,,0.000253313,0.000416559,,0.001947694,0.001457956,5.63E-06,TRUE
7.88E-05,,0.000129471,0.001581798,0.003754658,0.000118213,0.000765567,0.005111289,0.000146358,0.026974995,0.007424879,5.63E-05,4.50E-05,9.01E-05,8.44E-05,,,0.00033775,0.000979476,,0.00346757,0.002589419,5.63E-06,TRUE
2.81E-05,,1.69E-05,0.00041093,0.001761931,5.07E-05,0.000371525,0.00204339,5.07E-05,0.01285703,0.004514596,5.63E-06,2.81E-05,5.63E-05,2.25E-05,5.63E-06,,7.32E-05,0.000275829,,0.001345372,0.001120205,,TRUE
7.88E-05,,0.000123842,0.001514247,0.003658962,0.000118213,0.000765567,0.004976189,0.000146358,0.026288236,0.007199712,5.63E-05,3.94E-05,7.88E-05,7.88E-05,,,0.000332121,0.00095133,,0.00340002,0.00251624,5.63E-06,TRUE
1.13E-05,,,0.000371525,0.001412922,5.07E-05,0.000219538,0.00183511,6.19E-05,0.011517287,0.003321212,2.25E-05,5.07E-05,3.94E-05,3.94E-05,,,9.01E-05,0.000236425,,0.001615573,0.000906297,,TRUE
1.69E-05,,5.63E-06,0.000315234,0.00142981,5.07E-05,0.000303975,0.001654977,7.32E-05,0.009276876,0.003591412,1.69E-05,9.01E-05,3.94E-05,2.25E-05,5.63E-06,,9.57E-05,0.000326492,,0.00122153,0.000714905,5.63E-06,TRUE
3.38E-05,,7.88E-05,0.001289081,0.004396384,0.000163246,0.000855634,0.005899373,0.000230796,0.033290927,0.009091114,7.32E-05,0.000151988,8.44E-05,7.32E-05,,,0.000303975,0.000698017,,0.004463934,0.002797699,5.63E-06,TRUE
1.13E-05,,,0.000191392,0.00115398,2.81E-05,0.000236425,0.001260935,7.32E-05,0.007391104,0.003045382,1.13E-05,1.13E-05,6.76E-05,1.69E-05,,,9.57E-05,0.000225167,,0.00088378,0.000686759,1.13E-05,TRUE
0.000119175,5.96E-05,0.000297938,0.004767012,0.015522584,0.000446907,0.002502681,0.021868669,0.00140031,0.12543201,0.032296508,0.000268144,0.000148969,0.000238351,0.00038732,,,0.003009176,0.003515672,,0.015254439,0.010815159,,TRUE
,,,0.000446907,0.001161959,,0.000417114,0.00202598,8.94E-05,0.013645573,0.004022167,2.98E-05,,0.000148969,,,,0.000119175,0.000119175,,0.00140031,0.000953402,,TRUE
,,,0.000417114,0.001072578,,0.000476701,0.001877011,8.94E-05,0.013228459,0.003843404,2.98E-05,,0.000178763,,,,0.000119175,0.000119175,,0.00140031,0.000864021,,TRUE
,2.98E-05,,0.000476701,0.001191753,,0.00038732,0.001996186,5.96E-05,0.013168871,0.003992373,2.98E-05,,8.94E-05,,,,0.000119175,2.98E-05,2.98E-05,0.001728042,0.00101299,,TRUE
,,,0.000446907,0.00101299,,0.000357526,0.001906805,8.94E-05,0.013854129,0.003992373,2.98E-05,,0.000148969,,,,0.000119175,0.000148969,,0.00140031,0.000893815,,TRUE
0.000327732,,2.98E-05,0.007001549,0.005482064,0.000208557,0.001430104,0.007925158,0.000566083,0.052079609,0.013943511,2.98E-05,8.94E-05,0.000536289,0.000148969,,,0.00062567,0.00303897,,0.007388869,0.003217733,,TRUE
,2.98E-05,,0.000506495,0.001191753,,0.00038732,0.002055774,5.96E-05,0.013317841,0.00405196,2.98E-05,,8.94E-05,,,,8.94E-05,5.96E-05,2.98E-05,0.001668454,0.00101299,,TRUE
2.98E-05,2.98E-05,,0.000476701,0.001340722,,0.000327732,0.001936599,8.94E-05,0.013109284,0.00405196,2.98E-05,,0.000119175,,,,0.000148969,5.96E-05,2.98E-05,0.001728042,0.000983196,,TRUE
,,,0.000446907,0.001161959,,0.000417114,0.001877011,8.94E-05,0.013556191,0.003902991,2.98E-05,2.98E-05,0.000178763,,,,0.000119175,0.000148969,,0.00140031,0.000864021,,TRUE
,2.98E-05,,0.000506495,0.001281135,,0.000357526,0.001936599,8.94E-05,0.013019902,0.004111548,2.98E-05,,8.94E-05,2.98E-05,,,0.000148969,8.94E-05,2.98E-05,0.001698248,0.000983196,,TRUE
,,,0.000446907,0.001132165,,0.000417114,0.001966393,8.94E-05,0.013913717,0.003992373,2.98E-05,,0.000148969,,,,0.000119175,0.000208557,,0.00140031,0.000953402,,TRUE
,2.98E-05,,0.000476701,0.001221547,,0.000327732,0.002115362,8.94E-05,0.013377428,0.003992373,2.98E-05,,0.000119175,,,,0.000119175,0.000119175,2.98E-05,0.00163866,0.000953402,,TRUE
,0.00015444,,0.002625483,0.005868726,,0.001853282,0.01019305,0.00030888,0.068725869,0.020849421,0.00015444,,0.00046332,,,,0.00046332,0.00015444,0.00015444,0.008957529,0.005096525,,TRUE
,,,0.002316602,0.006332046,,0.001853282,0.010656371,0.00046332,0.071042471,0.020540541,0.00015444,,0.000772201,,,,0.000617761,0.000926641,,0.007258687,0.005096525,,TRUE
,,0.000926641,0.004787645,0.044942085,0.005405405,0.008648649,0.044015444,0.004787645,0.332509653,0.096370656,0.000772201,0.001235521,0.000617761,0.001081081,,,0.005714286,0.009266409,,0.037528958,0.027799228,,TRUE
