AAL,,,,,
date, Close/Last, Volume, Open, High, Low
3/5/2020,$16.04 ,44656810,$17.54 ,$17.65 ,$15.98 
3/4/2020,$18.53 ,44362090,$18.36 ,$18.55 ,$17.30 
3/3/2020,$17.85 ,35402450,$19.66 ,$19.79 ,$17.80 
3/2/2020,$18.86 ,38738000,$19.05 ,$19.06 ,$17.51 
2/28/2020,$19.05 ,37166400,$19.80 ,$20.35 ,$18.77 
2/27/2020,$20.60 ,31897330,$20.85 ,$22.48 ,$19.77 
2/26/2020,$22.31 ,19631370,$23.57 ,$23.75 ,$22.11 
2/25/2020,$23.12 ,22296880,$25.62 ,$25.75 ,$23.05 
2/24/2020,$25.45 ,21713200,$25.98 ,$26.11 ,$25 
2/21/2020,$27.82 ,11256490,$28.12 ,$28.30 ,$27.17 
2/20/2020,$28.51 ,10093420,$28.24 ,$28.90 ,$28.20 
2/19/2020,$28.33 ,8401025,$28.84 ,$28.88 ,$28.31 
2/18/2020,$28.63 ,10486460,$29.04 ,$29.35 ,$28.49 
2/14/2020,$29.20 ,5524788,$30.01 ,$30.27 ,$29.14 
2/13/2020,$30.09 ,9119433,$30.03 ,$30.40 ,$29.73 
2/12/2020,$30.47 ,9315375,$30 ,$30.78 ,$29.99 
2/11/2020,$29.84 ,8977738,$29.06 ,$29.94 ,$28.97 
2/10/2020,$28.79 ,15134340,$28.19 ,$28.81 ,$27.98 
2/7/2020,$28.38 ,6231754,$28.06 ,$28.55 ,$27.78 
2/6/2020,$28.30 ,8335783,$29.26 ,$29.45 ,$28.14 
2/5/2020,$29.10 ,8959684,$28.96 ,$29.24 ,$28.55 
2/4/2020,$28.43 ,10832930,$27.68 ,$28.61 ,$27.55 
2/3/2020,$27.16 ,7631879,$26.93 ,$27.67 ,$26.74 
1/31/2020,$26.84 ,11027940,$27.50 ,$27.52 ,$26.59 
1/30/2020,$27.72 ,10685470,$26.30 ,$27.79 ,$26.26 
1/29/2020,$26.80 ,9094411,$26.88 ,$27.49 ,$26.74 
1/28/2020,$26.90 ,11939170,$26.36 ,$27.12 ,$26.26 
1/27/2020,$26.11 ,21573810,$26.57 ,$26.60 ,$25.37 
1/24/2020,$27.64 ,18067790,$28.85 ,$28.86 ,$27.01 
1/23/2020,$28.80 ,25611120,$27.39 ,$28.99 ,$26.04 
1/22/2020,$27.32 ,9852593,$27.51 ,$27.91 ,$27.30 
1/21/2020,$27.20 ,16409420,$27.97 ,$27.99 ,$27.05 
1/17/2020,$28.40 ,7379424,$28.30 ,$28.72 ,$28.06 
1/16/2020,$28.23 ,6442847,$27.79 ,$28.26 ,$27.76 
1/15/2020,$27.58 ,5689926,$27.45 ,$28.06 ,$27.32 
1/14/2020,$27.53 ,8890948,$27.91 ,$28.40 ,$27.35 
1/13/2020,$27.39 ,5880251,$27.32 ,$27.53 ,$27.16 
1/10/2020,$27.32 ,8108419,$27.96 ,$27.99 ,$27.25 
1/9/2020,$27.95 ,6901065,$28.09 ,$28.23 ,$27.71 
1/8/2020,$27.84 ,10497300,$27.10 ,$28.09 ,$27.07 
1/7/2020,$27.22 ,6197079,$27.56 ,$27.68 ,$27.06 
1/6/2020,$27.32 ,6108646,$27.19 ,$27.49 ,$27.08 
1/3/2020,$27.65 ,14019970,$28.27 ,$28.29 ,$27.34 
1/2/2020,$29.09 ,6275633,$28.98 ,$29.30 ,$28.65 
12/31/2019,$28.68 ,4397331,$28.20 ,$28.79 ,$28.19 
12/30/2019,$28.30 ,4940611,$28.50 ,$28.53 ,$28.07 
12/27/2019,$28.44 ,8419552,$29.76 ,$29.81 ,$28.36 
12/26/2019,$29.67 ,4747397,$29.32 ,$29.71 ,$29.26 
12/24/2019,$29.18 ,2373608,$29.32 ,$29.43 ,$29.10 
12/23/2019,$29.30 ,9291453,$29.25 ,$29.72 ,$29.20 
12/20/2019,$29.04 ,12283160,$28.67 ,$29.05 ,$28.49 
12/19/2019,$28.55 ,6295123,$28 ,$28.57 ,$27.93 
12/18/2019,$28 ,4634055,$28.35 ,$28.57 ,$27.93 
12/17/2019,$28.28 ,5920693,$27.97 ,$28.48 ,$27.86 
12/16/2019,$27.92 ,6997861,$27.62 ,$28.35 ,$27.60 
12/13/2019,$27.48 ,5965334,$27.93 ,$28.13 ,$27.37 
12/12/2019,$27.72 ,9651944,$27.09 ,$28.02 ,$26.95 
12/11/2019,$26.86 ,5435419,$27.08 ,$27.10 ,$26.68 
12/10/2019,$27 ,7541746,$27.55 ,$27.63 ,$26.90 
12/9/2019,$27.49 ,4532901,$27.62 ,$27.83 ,$27.46 
12/6/2019,$27.73 ,6094102,$27.50 ,$27.96 ,$27.47 
12/5/2019,$27.24 ,4997239,$27.46 ,$27.57 ,$27.05 
12/4/2019,$27.38 ,4806046,$27.42 ,$27.76 ,$27.22 
12/3/2019,$27.29 ,7801699,$27.73 ,$27.77 ,$26.96 
