company,date,openprice,closeprice
AAL,2020-03-05 00:00:00,17.54,16.04
AAL,2020-03-04 00:00:00,18.36,18.53
AAL,2020-03-03 00:00:00,19.66,17.85
AAL,2020-03-02 00:00:00,19.05,18.86
AAL,2020-02-28 00:00:00,19.80,19.05
AAL,2020-02-27 00:00:00,20.85,20.60
AAL,2020-02-26 00:00:00,23.57,22.31
AAL,2020-02-25 00:00:00,25.62,23.12
AAL,2020-02-24 00:00:00,25.98,25.45
AAL,2020-02-21 00:00:00,28.12,27.82
AAL,2020-02-20 00:00:00,28.24,28.51
AAL,2020-02-19 00:00:00,28.84,28.33
AAL,2020-02-18 00:00:00,29.04,28.63
AAL,2020-02-14 00:00:00,30.01,29.20
AAL,2020-02-13 00:00:00,30.03,30.09
AAL,2020-02-12 00:00:00,30,30.47
AAL,2020-02-11 00:00:00,29.06,29.84
AAL,2020-02-10 00:00:00,28.19,28.79
AAL,2020-02-07 00:00:00,28.06,28.38
AAL,2020-02-06 00:00:00,29.26,28.30
AAL,2020-02-05 00:00:00,28.96,29.10
AAL,2020-02-04 00:00:00,27.68,28.43
AAL,2020-02-03 00:00:00,26.93,27.16
AAL,2020-01-31 00:00:00,27.50,26.84
AAL,2020-01-30 00:00:00,26.30,27.72
AAL,2020-01-29 00:00:00,26.88,26.80
AAL,2020-01-28 00:00:00,26.36,26.90
AAL,2020-01-27 00:00:00,26.57,26.11
AAL,2020-01-24 00:00:00,28.85,27.64
AAL,2020-01-23 00:00:00,27.39,28.80
AAL,2020-01-22 00:00:00,27.51,27.32
AAL,2020-01-21 00:00:00,27.97,27.20
AAL,2020-01-17 00:00:00,28.30,28.40
AAL,2020-01-16 00:00:00,27.79,28.23
AAL,2020-01-15 00:00:00,27.45,27.58
AAL,2020-01-14 00:00:00,27.91,27.53
AAL,2020-01-13 00:00:00,27.32,27.39
AAL,2020-01-10 00:00:00,27.96,27.32
AAL,2020-01-09 00:00:00,28.09,27.95
AAL,2020-01-08 00:00:00,27.10,27.84
AAL,2020-01-07 00:00:00,27.56,27.22
AAL,2020-01-06 00:00:00,27.19,27.32
AAL,2020-01-03 00:00:00,28.27,27.65
AAL,2020-01-02 00:00:00,28.98,29.09
AAL,2019-12-31 00:00:00,28.20,28.68
AAL,2019-12-30 00:00:00,28.50,28.30
AAL,2019-12-27 00:00:00,29.76,28.44
AAL,2019-12-26 00:00:00,29.32,29.67
AAL,2019-12-24 00:00:00,29.32,29.18
AAL,2019-12-23 00:00:00,29.25,29.30
AAL,2019-12-20 00:00:00,28.67,29.04
AAL,2019-12-19 00:00:00,28,28.55
AAL,2019-12-18 00:00:00,28.35,28
AAL,2019-12-17 00:00:00,27.97,28.28
AAL,2019-12-16 00:00:00,27.62,27.92
AAL,2019-12-13 00:00:00,27.93,27.48
AAL,2019-12-12 00:00:00,27.09,27.72
AAL,2019-12-11 00:00:00,27.08,26.86
AAL,2019-12-10 00:00:00,27.55,27
AAL,2019-12-09 00:00:00,27.62,27.49
AAL,2019-12-06 00:00:00,27.50,27.73
AAL,2019-12-05 00:00:00,27.46,27.24
AAL,2019-12-04 00:00:00,27.42,27.38
AAL,2019-12-03 00:00:00,27.73,27.29
AAL,2019-12-02 00:00:00,28.79,28.08
AAL,2019-11-29 00:00:00,28.92,28.74
AAL,2019-11-27 00:00:00,29.07,28.95
AAL,2019-11-26 00:00:00,28.95,29.05
AAL,2019-11-25 00:00:00,28.80,28.99
AAL,2019-11-22 00:00:00,28.20,28.68
AAL,2019-11-21 00:00:00,28.27,27.93
AAL,2019-11-20 00:00:00,29.14,28.23
AAL,2019-11-19 00:00:00,28.93,29.29
AAL,2019-11-18 00:00:00,28.64,28.60
AAL,2019-11-15 00:00:00,28.95,28.86
AAL,2019-11-14 00:00:00,28.75,28.77
AAL,2019-11-13 00:00:00,29.03,28.66
AAL,2019-11-12 00:00:00,30.58,29.52
AAL,2019-11-11 00:00:00,30.54,30.59
AAL,2019-11-08 00:00:00,30.72,30.76
AAL,2019-11-07 00:00:00,31.21,30.89
AAL,2019-11-06 00:00:00,31.17,30.96
AAL,2019-11-05 00:00:00,31,31.18
AAL,2019-11-04 00:00:00,30.71,30.95
AAL,2019-11-01 00:00:00,30.30,30.56
AAL,2019-10-31 00:00:00,30.07,30.06
AAL,2019-10-30 00:00:00,30.77,30.29
AAL,2019-10-29 00:00:00,31.42,30.92
AAL,2019-10-28 00:00:00,31,31.36
AAL,2019-10-25 00:00:00,29.40,30.86
AAL,2019-10-24 00:00:00,29.27,29.41
AAL,2019-10-23 00:00:00,28.25,28.29
AAL,2019-10-22 00:00:00,28.50,28.26
AAL,2019-10-21 00:00:00,28.51,28.62
AAL,2019-10-18 00:00:00,27.80,28.22
AAL,2019-10-17 00:00:00,28.31,27.93
AAL,2019-10-16 00:00:00,28.33,28.05
AAL,2019-10-15 00:00:00,27.63,28.27
AAL,2019-10-14 00:00:00,27.37,27.62
AAL,2019-10-11 00:00:00,27.63,27.36
AAL,2019-10-10 00:00:00,26.68,27.18
AAL,2019-10-09 00:00:00,26.78,27.07
AAL,2019-10-08 00:00:00,25.56,26.26
AAL,2019-10-07 00:00:00,25.80,25.83
AAL,2019-10-04 00:00:00,25.33,25.83
AAL,2019-10-03 00:00:00,25.47,25.27
AAL,2019-10-02 00:00:00,26.50,25.37
AAL,2019-10-01 00:00:00,27.08,26.80
AAL,2019-09-30 00:00:00,27.35,26.97
AAL,2019-09-27 00:00:00,27.01,27.01
AAL,2019-09-26 00:00:00,27.57,27.19
AAL,2019-09-25 00:00:00,27.13,27.44
AAL,2019-09-24 00:00:00,27.62,27.00
AAL,2019-09-23 00:00:00,27.71,27.50
AAL,2019-09-20 00:00:00,28.20,27.99
AAL,2019-09-19 00:00:00,28.63,28.30
AAL,2019-09-18 00:00:00,28.55,28.60
AAL,2019-09-17 00:00:00,28.02,28.64
AAL,2019-09-16 00:00:00,28.56,27.77
AAL,2019-09-13 00:00:00,30.20,29.95
